Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,height,mouser part number,mouser price/stock,manufacturer_name,manufacturer_part_number
55,"-4.3A Id, -12V Vds, 50mOhm Rds, P-Channel HEXFET Power MOSFET, SOT-23",IRLML6401,Q1,DMP2045UQ-7,SOT-23,1,https://www.infineon.com/dgdl/irlml6401pbf.pdf?fileId=5546d462533600a401535668b96d2634,,,,,,,
56,"N-MOSFET transistor, source/gate/drain",Q_NMOS_SGD,Q2Q3,DMTH3002LPS,D_POWERDI5060-8_6.0x5.1mm_P1.27mm,2,https://eu.mouser.com/datasheet/2/115/DIOD_S_A0003132884_1-2542222.pdf,669990696fdfe6f54e2eb28a,,,,,,DMT31M7LPS-13
57,Resistor,R,R37,25mR,R_0805_2012Metric,1,~,,,,,,,
58,,R-device,R24R25R26R27,100,R_0805_2012Metric,4,,5c70984512875079b91f8977,,,,,,
59,Resistor,R,R47,100R,R_0805_2012Metric,1,~,5c70984512875079b91f8956,,,,,,
60,Resistor,R,R20,470R,R_0805_2012Metric,1,~,,,,,,,
61,Resistor,R,R36,2k,R_0805_2012Metric,1,~,,,,,,,
62,,R-device,R28,2k2,R_0805_2012Metric,1,,5c70984612875079b91f8990,,,,,,
63,,R-device,R2,4k7,R_0805_2012Metric,1,,5c70984612875079b91f8995,,,,,,
64,Resistor,R,R5R6R8R9R10R11R14R15R16R17R18R19R21R48,10k,R_0805_2012Metric,14,~,5c70984612875079b91f899f,,,,,,
65,,R-device,R3,10k,R_0805_2012Metric,1,,5c70984612875079b91f899f,,,,,,
66,,R-Device-ISM02A-rescue,R46,10k,R_0805_2012Metric,1,,5c70984512875079b91f8962,,,,,,
67,Resistor,R,R23R30,56k,R_0805_2012Metric,2,~,,,,,,,
68,Resistor,R,R43R45,91k,R_0805_2012Metric,2,~,,,,,,,
69,Resistor,R,R32R33R34R39R41,100k,R_0805_2012Metric,5,~,,,,,,,
70,Resistor,R,R22R29,150k,R_0805_2012Metric,2,~,,,,,,,
71,Resistor,R,R40,220k,R_0805_2012Metric,1,~,,,,,,,
72,Resistor,R,R44,511k,R_0805_2012Metric,1,~,,,,,,,
73,Resistor,R,R42,806k,R_0805_2012Metric,1,~,,,,,,,
74,Resistor,R,R31,1M,R_0805_2012Metric,1,~,,,,,,,
75,,R-device,R1,-,R_0805_2012Metric,1,,,,,,,,
76,Resistor,R,R38,523k (E96),R_0805_2012Metric,1,~,,,,,,,
77,Resistor,R,R35,6.2k 1/8W,R_0805_2012Metric,1,~,,,,,,,
78,,ATMEGA1284P-AU-atmel,U3,ATMEGA1284P-AU,TQFP-44_10x10mm_P0.8mm,1,http://www.atmel.com/Images/Atmel-8272-8-bit-AVR-microcontroller-ATmega164A_PA-324A_PA-644A_PA-1284_P_datasheet.pdf,5c70984412875079b91f888e,,,,,,
79,"InvenSense 9-Axis Motion Sensor, Accelerometer, Gyroscope, Compass, I2C/SPI, QFN-24",ICM-20948,U5,ICM-20948,InvenSense_QFN-24_3x3mm_P0.4mm,1,http://www.invensense.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf,5c725a431287500b4e112ef5,,,,,,
80,,ISL21070CIH320Z-TK-references,U1,ISL21080CIH320Z-TK,SOT-23,1,http://www.intersil.com/content/dam/Intersil/documents/fn75/fn7599.pdf,5c70984712875079b91f8b79,,,,,,
81,"300mA Low-dropout Voltage Regulator, Vout 1.8V, Vin up to 5.5V, SOT-23",MIC5504-1.8YM5,U8,MIC5504-1.8YM5-TR,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7256781287500b4e112eba,,,,,,
82,"Barometric pressure sensor, 10cm resolution, 10 to 1200 mbar, I2C and SPI interface up to 20MHz, LGA-8",MS5611-01BA,U7,MS5611-01BA,LGA-8_3x5mm_P1.25mm,1,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English,,,,,,,
83,RF Switch,PE4259,U12,PE4259,SOT-363_SC-70-6,1,https://www.psemi.com/pdf/datasheets/pe4259ds.pdf,5face19b12875025b3977e15,,,,,,
84,,SX1262-MLAB_IO-ISM02A-rescue,U11,SX1262,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,1,https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/2R000000HT76/7Nka9W5WgugoZe.xwIHJy6ebj1hW8UJ.USO_Pt2CLLo,5dad5866128750448eca19a4,,,,,,
85,,TPS22965-Q1-MLAB_IO,U6,TPS22965-Q1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,,5c70984712875079b91f8b78,,,,,,
86,"Switching Voltage Regulators 1.5-A output current, high power density buck-boost converter",TPS631000DRLR,U9U10,TPS631000DRLR,SOT-583-8,2,https://www.ti.com/lit/ds/symlink/tps631000.pdf?ts=1652152702265,,,0.6,595-TPS631000DRLR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS631000DRLR?qs=rSMjJ%252B1ewcRYwoN2deTeNA%3D%3D,Texas Instruments,TPS631000DRLR
87,"Bidirectional  level-shifting voltage translator, TSSOP-20",TXS0108EPW,U4,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,1,www.ti.com/lit/ds/symlink/txs0108e.pdf,5c7258471287500b4e112edd,,,,,,
88,,Crystal_GND24-Device-ISM02A-rescue,Y3,32MHz,Crystal_SMD_NX2016SA,1,,5dad592b128750448eca19b2,NX2016SA-32M-EXS00A-CS06465,,,,,
89,,Crystal-device,Y2,6pF crystal - 32.768kHz,ABS07,1,,5c70984712875079b91f8b1b,,,,,,
90,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y6,8MHz LFXTAL083138,Crystal SMD CFPX-180,1,~,,,,,,,
